行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,中山北路,七段230之1號 對面,121.533653,25.127586,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段171號(往169號方向移49公尺),121.532416,25.124103,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段123號前,121.531899,25.122729,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段141巷43號 (下方公園旁),121.530105,25.124254,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段141巷43號 (體惠幼稚園旁),121.530485,25.124856,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段29號,121.530619,25.1193,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段785號(日本學校)(一),121.529841,25.118191,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段785號(日本學校)(三),121.52864,25.116674,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母西路,73號,121.525399,25.118525,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母西路,46之3號,121.52528,25.118429,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母北路,61號,121.526779,25.121413,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段202號(誠品),121.534297,25.117231,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,忠誠路二段170號對面,121.533623,25.115586,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段96號(統一證卷),121.53117,25.112923,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段27號,121.530661,25.109488,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,"二段162號對面(運動公園)(一)""",121.533329,25.115152,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,東山路,114號,121.539375,25.113,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段765號,121.52802,25.115805,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母東路,68號(新光三越)(一),121.533705,25.117976,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段206號(新光三越)(三),121.534448,25.117812,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段114號對面,121.531808,25.113247,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段55號 (大葉高島屋)(二) ,121.531105,25.112072,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段55號大葉高島屋士東路口(大葉高島屋)(三) ,121.531409,25.112355,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段67號,121.5246893,25.0793027,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,四段177號,121.5233065,25.0858034,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,四段177號,121.5228604,25.0869031,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段與通河街口,121.5227315,25.08724549,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,519號陽明高中站牌(1),121.516972,25.0910252,嚴禁投入家用垃圾，違者重罰新台幣6000元
